__key,lon,lat,Object Number,Restaurant Street address,Restaurant City,State,year opened,year closed,Owner surname(s),Is it in the 1960 Catalog?,pattern,earliest year for artifact,latest year for artifact,Pattern varient,Additional Design,Vessel form,rim diameter (cm),vessel height (in cm),thickness of vessel walls (in mm),thickness of lip (in mm),foot rim diameter (cm),height of foot (in mm),Mark (use letter code sheet),"sticker (use code, 0=none)",volume of cup or teapot in ml,weight (in grams),Additional design
NAN,-122.633226,45.4185097,FSL-259,,,,,,,,Dragon and Phoenix,,1983.0,,Gold,Saucer,14.50 cm,2.50 cm,3.62 mm,,9.00 cm,,G,0,,145.41 g,
NAN,-122.633226,45.4185097,FSL-260,,,,,,,,Bird and Flower,,,,,Dish,10.50 cm,3.00 cm,6.00 mm,,5.50 cm,,D,0,,147.93 g,
NAN,-122.633226,45.4185097,FSL-261,,,,,,,,God of Longevity,,,,,Dish,8.50 cm,2.00 cm,6.64 mm,,5.00 cm,,I,0,,94.93 g,
NAN,-122.633226,45.4185097,FSL-262,,,,,,,,Dragon and Phoenix,1983,,, ,Bowl,10.50 cm,5.00 cm,5.66 mm,6.43 mm,4.50 cm,7.00 mm,I,Yes: Japan,190.00 ml,201.33 g,
NAN,-122.633226,45.4185097,FSL-263,,,,,,,,Women / Characters,,,,"""precious like jade""",Spoon,15.00 cm (Including Handle),1.50 cm (Only Bowl),3.50 mm,,,,D,0,10.00 ml,46.67 g,
NAN,-122.633226,45.4185097,FSL-264,,,,,,,,Individualized Logo,,,,Hexeganol Pattern with Three Symbols inside of Red Circles ,Spoon,14.00 cm (Including Handle),1.50 cm (Only Bowl),3.50 mm,,,,G,0,10.00 ml,38.03 g,
NAN,-122.633226,45.4185097,FSL-265,,,,,,,,Women / Characters,,,,"""precious like jade""",Spoon,15.00 cm (Including Handle),1.50 cm (Only Bowl),3.50 mm,,,,D,0,10.00 ml,45.96 g,
NAN,-122.633226,45.4185097,FSL-278,,,,,,,,Dragon and Phoenix,,,,,Tea Pot,6.50 cm,14.50 cm,,,8.50 cm,,B,0,600 ml,508.30 g,
NAN,-122.633226,45.4185097,FSL-279,,,,,,,,Women / Characters,,,, ,Tea Pot,7.00 cm,16.50 cm,,,7.50 cm,,A,0,800 ml,482.60 g,
NAN,-122.633226,45.4185097,FSL-310,,,,,,,,Women / Characters,1959,1973.0,TW II,Characters and no address,Tea Cup,7.6 cm,5.3 cm,7.1 mm,7.9 mm,3.7 cm,5 mm,G,,106 ml,160.4 g,
CHIN'S CAFE,-123.3523698,43.201058,FSL-017,1614 S. E. Stephens St.,Roseburg,OR,1960.0,2012.0,,,Bird and Flower,,,B-II,,Tea Cup,8,5.50 cm,6.50 mm,7.87 mm,4.00 cm,5.00 mm,G,0,120.00 ml,159.00 g,
CHIN'S CAFE,-123.3523698,43.201058,FSL-024,1614 S. E. Stephens St.,Roseburg,OR,1960.0,2012.0,,,Bird and Flower,,,B-II,,Tea Cup,8,5.50 cm,6.81 mm,8.00 mm,4.00 cm,5.00 mm,G,0,110.00 ml,159.00 g,
